date/time,open,high,low,close,volume
2016-01-15,114.2600,117.3600,111.8900,112.6000,2189680
2016-01-08,121.5200,122.2600,112.9200,113.0600,2040851
2015-12-31,124.4300,125.0799,122.6500,123.0400,999535
2015-12-24,124.7500,127.2800,123.6500,125.7700,1007852
2015-12-18,123.5900,126.8900,121.6700,124.3900,1865296
2015-12-11,125.4900,125.6000,121.9600,123.6700,1736616
2015-12-04,124.8000,127.0500,124.2000,125.9000,1525831
2015-11-27,123.6000,124.7400,122.6600,124.3700,591617
2015-11-20,121.0000,124.9500,120.9900,123.6700,996980
2015-11-13,122.9200,124.0400,121.2000,121.2700,1109980
2015-11-06,123.1800,125.1900,122.2900,122.9200,2039228
2015-10-30,125.6600,126.4500,122.4601,122.6200,1081900
2015-10-23,123.3500,125.9600,122.1600,125.7400,1059063
2015-10-16,122.7500,124.1480,119.9000,123.9600,1371760
2015-10-09,121.7900,124.5900,120.3680,122.6000,1582163
2015-10-02,117.5600,120.8200,113.1600,120.7300,1727815
2015-09-25,119.5900,120.0200,116.0000,118.5100,1606282
2015-09-18,116.7300,122.8200,116.0000,118.8200,1727605
2015-09-11,120.2000,123.4060,115.8900,117.1000,4334359
2015-09-04,118.9300,120.4400,114.0800,116.5000,1550606
2015-08-28,110.2300,121.6100,105.0000,120.7700,2665328
2015-08-21,127.5000,128.0699,118.9100,119.0500,1670453
2015-08-14,130.5000,131.4300,126.0310,128.1900,1624254
2015-08-07,132.4400,133.3900,128.1700,129.9500,1750232
2015-07-31,131.5000,133.7100,130.3700,133.4600,1281316
2015-07-24,135.7900,136.1100,132.3200,132.5500,1077021
2015-07-17,133.0200,136.3900,132.9300,135.3600,1331986
2015-07-10,132.2500,133.0995,127.9400,131.5200,1727372
2015-07-02,134.1000,134.4800,132.4000,132.7500,841343
2015-06-26,135.1600,137.2500,134.8530,135.4600,1002933
2015-06-19,135.2000,136.1700,133.5000,134.0200,1243794
2015-06-12,133.5800,135.8700,131.9196,135.4900,1051360
2015-06-05,137.8000,137.9800,135.2600,135.5100,1196201
2015-05-29,138.4700,139.9560,137.1400,137.8900,1070870
2015-05-22,139.3900,140.2400,137.9100,138.2200,830660
2015-05-15,137.8800,139.3900,136.5200,139.3700,2023968
2015-05-08,139.7900,142.3400,136.5000,142.1200,1289854
2015-05-01,140.9600,142.8400,138.7067,139.9600,1471741
2015-04-24,138.7400,141.9000,138.6400,141.2100,1351611
2015-04-17,137.6700,139.5040,137.2000,138.4300,1110211
2015-04-10,140.0000,141.2100,138.6600,139.6500,1157755
2015-04-02,141.6700,142.9400,137.7700,140.0200,1647171
2015-03-27,145.3300,145.8000,141.7200,142.4000,1676287
2015-03-20,137.3600,143.5000,136.6000,143.0900,2262950
2015-03-13,135.5000,137.6700,133.6000,136.1700,1324191
2015-03-06,135.2500,136.0000,134.4001,134.8900,1086417
2015-02-27,136.9000,138.7000,135.3500,135.3700,1249541
2015-02-20,132.0000,136.9900,132.0000,136.9000,1082166
2015-02-13,129.4700,132.7900,128.9600,132.4900,1492845
2015-02-06,130.1000,134.2400,129.3700,129.5700,2042632
2015-01-30,130.9800,132.4200,128.6900,128.8500,1642459
2015-01-23,129.5000,130.2300,127.9600,129.6600,1571739
2015-01-16,126.5000,129.0000,124.6300,128.8800,1675527
2015-01-09,124.4400,127.7700,121.2107,126.0800,1560957
2015-01-02,127.0800,127.6000,124.8900,125.6700,773815
2014-12-26,126.3000,128.2900,125.9300,128.1000,1026246
2014-12-19,123.5400,127.4600,121.0600,127.0100,2183059
2014-12-12,129.0400,129.1900,124.5201,124.5400,1941859
2014-12-05,124.6600,129.3000,124.5500,129.0300,2382360
2014-11-28,121.4900,123.3300,121.3000,123.1300,1377371
2014-11-21,118.5000,121.7000,118.0800,121.2900,2129563
2014-11-14,117.8100,120.3700,117.5000,119.8200,1692764
2014-11-07,121.3000,122.0300,117.6800,118.6700,2827092
2014-10-31,114.3200,121.4400,113.8600,121.3500,2309684
2014-10-24,112.3300,114.6540,112.1300,114.5100,2208616
2014-10-17,114.1700,114.6700,108.4000,109.7900,2728454
2014-10-10,116.6100,117.2200,113.8500,113.9700,2009838
2014-10-03,118.0700,118.1500,113.6400,116.1600,2312665
2014-09-26,119.1100,119.8100,117.7800,118.6500,1706252
2014-09-19,116.9800,119.5000,116.6900,118.7600,1379000
2014-09-12,116.1600,117.4000,114.9700,117.1100,1325000
